,time,2dmu,2dmv
0,0.0,0.493,0.477
1,0.0,0.493,0.477
2,0.0,0.493,0.476
3,0.0,0.493,0.476
4,0.0,0.493,0.476
5,0.0,0.493,0.476
6,0.0,0.493,0.475
7,0.0,0.493,0.475
8,0.0,0.493,0.475
9,0.0,0.493,0.475
10,0.0,0.4920000000000001,0.475
11,0.0,0.4920000000000001,0.475
12,0.0,0.4920000000000001,0.475
13,0.0,0.4920000000000001,0.475
14,0.0,0.4920000000000001,0.471
15,0.0,0.4920000000000001,0.471
16,0.0,0.4920000000000001,0.468
17,0.0,0.4920000000000001,0.468
18,0.0,0.4920000000000001,0.468
19,0.0,0.4920000000000001,0.468
20,0.0,0.4920000000000001,0.468
21,0.0,0.4920000000000001,0.468
22,0.0,0.491,0.469
23,0.0,0.491,0.469
24,0.0,0.491,0.469
25,0.0,0.491,0.469
26,0.0,0.49,0.472
27,0.0,0.49,0.472
28,0.0,0.49,0.472
29,0.0,0.49,0.472
30,0.0,0.49,0.476
31,0.0,0.49,0.476
32,0.0,0.49,0.476
33,0.0,0.49,0.476
34,0.0,0.49,0.479
35,0.0,0.49,0.479
36,0.0,0.49,0.479
37,0.0,0.49,0.479
38,0.0,0.49,0.482
39,0.0,0.49,0.482
40,0.0,0.49,0.482
41,0.0,0.49,0.482
42,0.0,0.489,0.481
43,0.0,0.489,0.481
44,0.0,0.489,0.481
45,0.0,0.489,0.481
46,0.021,0.489,0.483
47,0.021,0.489,0.483
48,0.021,0.488,0.484
49,0.021,0.488,0.484
50,0.062,0.487,0.486
51,0.062,0.487,0.486
52,0.062,0.487,0.487
53,0.062,0.487,0.487
54,0.062,0.486,0.488
55,0.062,0.486,0.488
56,0.103,0.486,0.488
57,0.103,0.486,0.488
58,0.103,0.486,0.487
59,0.103,0.486,0.487
60,0.14300000000000002,0.485,0.487
61,0.14300000000000002,0.485,0.487
62,0.14300000000000002,0.485,0.487
63,0.14300000000000002,0.485,0.487
64,0.183,0.485,0.487
65,0.183,0.485,0.487
66,0.183,0.484,0.485
67,0.183,0.484,0.485
68,0.183,0.483,0.48
69,0.183,0.483,0.48
70,0.223,0.483,0.478
71,0.223,0.483,0.478
72,0.223,0.482,0.472
73,0.223,0.482,0.472
74,0.264,0.482,0.472
75,0.264,0.482,0.472
76,0.264,0.482,0.467
77,0.264,0.482,0.467
78,0.264,0.481,0.462
79,0.264,0.481,0.462
80,0.304,0.48,0.457
81,0.304,0.48,0.457
82,0.304,0.479,0.452
83,0.304,0.479,0.452
84,0.345,0.479,0.452
85,0.345,0.479,0.452
86,0.345,0.479,0.446
87,0.345,0.479,0.446
88,0.345,0.478,0.439
89,0.345,0.478,0.439
90,0.385,0.478,0.4320000000000001
91,0.385,0.478,0.4320000000000001
92,0.385,0.477,0.423
93,0.385,0.477,0.423
94,0.425,0.477,0.415
95,0.425,0.477,0.415
96,0.425,0.477,0.415
97,0.425,0.477,0.415
98,0.465,0.477,0.407
99,0.465,0.477,0.407
100,0.465,0.477,0.401
101,0.465,0.477,0.401
102,0.465,0.477,0.395
103,0.465,0.477,0.395
104,0.505,0.477,0.395
105,0.505,0.477,0.395
106,0.505,0.478,0.39
107,0.505,0.478,0.39
108,0.545,0.478,0.384
109,0.545,0.478,0.384
110,0.545,0.478,0.385
111,0.545,0.478,0.385
112,0.545,0.478,0.379
113,0.545,0.478,0.379
114,0.586,0.478,0.375
115,0.586,0.478,0.375
116,0.586,0.478,0.375
117,0.586,0.478,0.375
118,0.626,0.478,0.3720000000000001
119,0.626,0.478,0.3720000000000001
120,0.626,0.477,0.368
121,0.626,0.477,0.368
122,0.667,0.476,0.364
123,0.667,0.476,0.364
124,0.667,0.475,0.359
125,0.667,0.475,0.359
126,0.667,0.475,0.359
127,0.667,0.475,0.359
128,0.7070000000000001,0.475,0.354
129,0.7070000000000001,0.475,0.354
130,0.7070000000000001,0.474,0.35
131,0.7070000000000001,0.474,0.35
132,0.748,0.473,0.34600000000000003
133,0.748,0.473,0.34600000000000003
134,0.748,0.473,0.345
135,0.748,0.473,0.345
136,0.748,0.473,0.345
137,0.748,0.473,0.345
138,0.789,0.473,0.345
139,0.789,0.473,0.345
140,0.789,0.473,0.34600000000000003
141,0.789,0.473,0.34600000000000003
142,0.8290000000000001,0.473,0.345
143,0.8290000000000001,0.473,0.345
144,0.8290000000000001,0.473,0.34600000000000003
145,0.8290000000000001,0.473,0.34600000000000003
146,0.8290000000000001,0.473,0.345
147,0.8290000000000001,0.473,0.345
148,0.87,0.473,0.345
149,0.87,0.473,0.345
150,0.87,0.473,0.345
151,0.87,0.473,0.345
152,0.91,0.472,0.34600000000000003
153,0.91,0.472,0.34600000000000003
154,0.91,0.472,0.34600000000000003
155,0.91,0.472,0.34600000000000003
156,0.951,0.472,0.34600000000000003
157,0.951,0.472,0.34600000000000003
158,0.951,0.472,0.34700000000000003
159,0.951,0.472,0.34700000000000003
160,0.951,0.472,0.348
161,0.951,0.472,0.348
162,0.993,0.473,0.349
163,0.993,0.473,0.349
164,0.993,0.473,0.349
165,0.993,0.473,0.349
166,1.033,0.473,0.35100000000000003
167,1.033,0.473,0.35100000000000003
168,1.033,0.475,0.354
169,1.033,0.475,0.354
170,1.033,0.476,0.358
171,1.033,0.476,0.358
172,1.073,0.477,0.364
173,1.073,0.477,0.364
174,1.073,0.479,0.37
175,1.073,0.479,0.37
176,1.114,0.479,0.37
177,1.114,0.479,0.37
178,1.114,0.481,0.379
179,1.114,0.481,0.379
180,1.114,0.483,0.39
181,1.114,0.483,0.39
182,1.154,0.486,0.401
183,1.154,0.486,0.401
184,1.154,0.486,0.401
185,1.154,0.486,0.401
186,1.194,0.488,0.411
187,1.194,0.488,0.411
188,1.194,0.4920000000000001,0.422
189,1.194,0.4920000000000001,0.422
190,1.234,0.496,0.4320000000000001
191,1.234,0.496,0.4320000000000001
192,1.234,0.4970000000000001,0.43
193,1.234,0.4970000000000001,0.43
194,1.234,0.4970000000000001,0.43
195,1.234,0.4970000000000001,0.43
196,1.275,0.501,0.439
197,1.275,0.501,0.439
198,1.275,0.505,0.447
199,1.275,0.505,0.447
200,1.315,0.509,0.454
201,1.315,0.509,0.454
202,1.315,0.514,0.461
203,1.315,0.514,0.461
204,1.315,0.514,0.461
205,1.315,0.514,0.461
206,1.355,0.518,0.466
207,1.355,0.518,0.466
208,1.355,0.523,0.471
209,1.355,0.523,0.471
210,1.395,0.527,0.475
211,1.395,0.527,0.475
212,1.395,0.531,0.478
213,1.395,0.531,0.478
214,1.395,0.531,0.478
215,1.395,0.531,0.478
216,1.436,0.537,0.48
217,1.436,0.537,0.48
218,1.436,0.5429999999999999,0.482
219,1.436,0.5429999999999999,0.482
220,1.477,0.5489999999999999,0.483
221,1.477,0.5489999999999999,0.483
222,1.477,0.555,0.484
223,1.477,0.555,0.484
224,1.517,0.555,0.484
225,1.517,0.555,0.484
226,1.517,0.562,0.485
227,1.517,0.562,0.485
228,1.517,0.568,0.486
229,1.517,0.568,0.486
230,1.558,0.574,0.486
231,1.558,0.574,0.486
232,1.558,0.581,0.485
233,1.558,0.581,0.485
234,1.599,0.581,0.485
235,1.599,0.581,0.485
236,1.599,0.58,0.484
237,1.599,0.58,0.484
238,1.599,0.586,0.483
239,1.599,0.586,0.483
240,1.64,0.5920000000000001,0.482
241,1.64,0.5920000000000001,0.482
242,1.64,0.597,0.481
243,1.64,0.597,0.481
244,1.681,0.597,0.481
245,1.681,0.597,0.481
246,1.681,0.602,0.481
247,1.681,0.602,0.481
248,1.681,0.606,0.479
249,1.681,0.606,0.479
250,1.722,0.61,0.478
251,1.722,0.61,0.478
252,1.722,0.614,0.478
253,1.722,0.614,0.478
254,1.7619999999999998,0.614,0.478
255,1.7619999999999998,0.614,0.478
